Company,Sub-processor,Service category / What they do
Cursor,AWS,"Our infrastructure is primarily hosted on AWS. Most of our servers are in the US, with some latency-critical servers located in AWS regions in (Tokyo) and Europe (London)."
Cursor,Microsoft Azure,Some secondary infrastructure is hosted on Microsoft Azure. All of our Azure servers are in the US.
Cursor,Google Cloud Platform (GCP),Some secondary infrastructure is hosted on Google Cloud Platform (GCP). All of our GCP servers are in the US.
Cursor,Fireworks,"Our custom models are hosted with Fireworks, on servers in the US, Asia (Tokyo), and Europe. Fireworks may store some code data if privacy mode is disabled to speed up inference for our models. We have a zero data retention agreement with Fireworks."
Cursor,OpenAI,We rely on many of OpenAI's models to give AI responses. Requests may be sent to OpenAI even if you have an Anthropic (or someone else's) model selected in chat (e.g. for summarization). We have a zero data retention agreement with OpenAI.
Cursor,Anthropic,We rely on many of Anthropic's models to give AI responses. Requests may be sent to Anthropic even if you have an OpenAI (or someone else's) model selected in chat (e.g. for summarization). We have a zero data retention agreement with Anthropic.
Cursor,Google Cloud Vertex API,We rely on some Gemini models offered over Google Cloud's Vertex API to give AI responses. Requests may be sent to Google Cloud Vertex API even if you have an OpenAI (or someone else's) model selected in chat (e.g. for summarization). We have a zero data retention agreement with Vertex.
Cursor,xAI,We rely on some Grok models offered over the xAI API to give AI responses. We have a zero data retention agreement with xAI.
Cursor,Turbopuffer,"Embeddings of indexed codebases, as well as metadata associated with the embeddings (obfuscated file names), are stored with Turbopuffer on Google Cloud's servers in the US. You can read more on the Turbopuffer security page. Users can disable codebase indexing; read more about it in the Codebase Indexing section of this document."
Cursor,Exa,"Used for web search functionality. Search requests are potentially derived from code data (e.g. when using ""@web"" in the chat, a separate language model will look at your message, conversation history and current file to determine what to search for, and Exa/SerpApi will see the resulting search query)."
Cursor,SerpApi,"Used for web search functionality. Search requests are potentially derived from code data (e.g. when using ""@web"" in the chat, a separate language model will look at your message, conversation history and current file to determine what to search for, and Exa/SerpApi will see the resulting search query)."
Cursor,MongoDB,"We use MongoDB for some of our analytics data, for users who do not have privacy mode enabled."
Cursor,Datadog,"We use Datadog for logging and monitoring. As discussed in the Privacy Mode Guarantee section, logs related to privacy mode users do not contain any code data."
Cursor,Databricks,We use Databricks MosaicML for training some of our custom models. Data from privacy mode users never reaches Databricks.
Cursor,Foundry,We use Foundry for training some of our custom models. Data from privacy mode users never reaches Foundry.
Cursor,Voltage Park,We use Voltage Park for training some of our custom models. Data from privacy mode users never reaches Voltage Park.
Cursor,Slack,We use Slack as our internal communication tool. We may send snippets of prompts of non-privacy users in our internal chats for debugging.
Cursor,Google Workspace,We use Google Workspace to collaborate. We may send snippets of prompts of non-privacy users in our internal emails for debugging.
Cursor,Sentry,"We use Sentry to monitor errors and performance in our app. Code data is never explicitly sent, but may show up in reported errors. Data from privacy mode users never reaches Sentry."
Cursor,Mistral,We use Mistral to parse public PDFs found on the internet. No private data reaches Mistral (unless you manually use a Mistral model with your own API key).
Cursor,Pinecone,Embeddings and metadata of some indexed docs are stored on Pinecone. These docs are fetched from the public web.
Cursor,Amplitude,"We use Amplitude for some of our analytics data. No code data is stored with Amplitude; only event data such as ""number of Cursor Tab requests""."
Cursor,HashiCorp,We use HashiCorp Terraform to manage our infrastructure.
Cursor,Stripe,"We use Stripe to handle billing. Stripe will store your personal data (name, credit card, address)."
Cursor,Vercel,We use Vercel to deploy our website. The website has no way of accessing code data.
Cursor,WorkOS,"We use WorkOS to handle auth. WorkOS may store some personal data (name, email address)."
Replit,Google Cloud Services,Cloud Infrastructure for our apps and services
Replit,"Google, Inc",Site analytics (web) and customer interactions (email)
Replit,Segment,Site analytics (web)
Replit,Redis Labs,Database management
Replit,Discord,Customer support
Replit,"Civilized Discourse Construction Kit, Inc",Customer support
Replit,Typeform,Customer support
Replit,Common Room,Customer support
Replit,Amplitude,Site analytics (web)
Replit,Hex Technologies Inc,Site analytics (web)
Replit,Datadog,Site analytics (email)
Replit,Stytch,Analytics and identity
Replit,Databricks,Database management
Replit,Metabase,Database management
Replit,Neon,Database management
Replit,Sanity,Content management
Replit,Stripe,Payment processing
Replit,Twilio,SMS verification
Replit,X (Twitter),Site analytics (web) and customer interactions (email)
Replit,ZoomInfo,Site analytics (web) and customer interactions (email)
Replit,AppsFlyer,Site analytics and customer interactions (mobile)
Anthropic,Google Cloud Platform,Cloud infrastructure
Anthropic,Amazon Web Services,Cloud Infrastructure
Anthropic,Cloudflare,Traffic Routing (CDN)
Anthropic,Stripe,Billing
Anthropic,WorkOS,"Security, Single Sign-On"
Anthropic,Retool,"User support, safety, monitoring"
Anthropic,Intercom,User support
Anthropic,Twilio,"Analytics, email/SMS communications"
Anthropic,"Functional Software, dba Sentry","Error Handling, User Support"
Anthropic,Sift,Fraud and abuse detection
Anthropic,Brave Search,Web Search
Anthropic,ElevenLabs,Text to speech
CodeGPT,Amazon Web Services,Cloud Service and AI Models
CodeGPT,Microsoft Azure,Cloud Service and AI Models
CodeGPT,Google Cloud Platform,Cloud Service and AI Models
CodeGPT,GitHub,Code Repository
CodeGPT,Supabase,Database
CodeGPT,Vercel,Engineering
CodeGPT,Upstash,Database
CodeGPT,Docker,Engineering
CodeGPT,Cloudflare,Hosting
CodeGPT,Datadog,Cloud Monitoring
CodeGPT,Bugsnag,Monitoring
CodeGPT,ConvertAPI,Engineering
CodeGPT,Mistral,AI Models
CodeGPT,Cohere,AI Models
CodeGPT,Groq,AI Models
CodeGPT,Deel,Payroll
CodeGPT,Google Workspace,Identity Provider
CodeGPT,Stripe,Payments Processor
CodeGPT,Intercom,Customer Support
CodeGPT,HubSpot,Sales
CodeGPT,Mixpanel,Data Analytics
CodeGPT,Slack,Collaboration
CodeGPT,Discord,Collaboration
CodeGPT,Trello,Collaboration
CodeGPT,Notion,Collaboration
CodeGPT,Google Drive,Document Management
CodeGPT,Google Analytics,Data Analytics
CodeGPT,Hotjar,Data Analytics
CodeGPT,Miro,Collaboration
CodeGPT,Make,Automation
CodeGPT,Figma,Product Design
CodeGPT,Vanta,Security and Compliance
CodeGPT,Certn,Background Check
CodeGPT,Quickbooks,Accounting
CodeGPT,Brex,Finance and Payments
CodeGPT,Calendly,Collaboration
CodeGPT,Uber,Travel
CodeGPT,Mavity,Outsource Service
CodeGPT,ReadMe,Documentation
poolside,Google,"Google Workspace, formerly G Suite, is used to process contractual data and communications with customers."
poolside,Amazon Web Services,AWS is used to process any Product Metrics and logging.
poolside,Gong,Gong is used to record customer calls. Calls are only recorded with the knowledge and consent of the customer.
poolside,Salesforce,"Salesforce is used to keep track of customers’ contractual data, contracts, etc."
poolside,ClickHouse,ClickHouse allows poolside to generate analytical reports using SQL queries in real time.
poolside,Grafana,Grafana monitors all user and customer activity.
windsurf,Google Cloud Platform (GCP),"Stores code data only if Cloud and relevant features are opted-in, sees code data"
windsurf,Crusoe,Sees code data for inference
windsurf,Oracle Cloud,Sees code data for inference
windsurf,Palantir,Sees code data for inference
windsurf,AWS,Sees code data for inference
windsurf,OpenAI,Sees code data for inference
windsurf,Anthropic,Sees code data for inference
windsurf,Google Cloud Vertex API,Sees code data for inference
windsurf,xAI,Sees code data for inference
windsurf,Databricks,Sees code data for inference
windsurf,Bing API,Sees text potentially derived from code data
windsurf,PagerDuty,Sees no code data
windsurf,Slack,Sees no code data
windsurf,Google Workspace,Sees no code data
windsurf,Firebase,Sees no code data
windsurf,Okta,Sees no code data
windsurf,Stripe,Sees no code data
windsurf,Vercel,Sees no code data
windsurf,Mintlify,Sees no code data
windsurf,Zendesk,Sees no code data unless provided by user
windsurf,Retool,May see code data if not on zero-data retention
windsurf,Metabase,May see code data if not on zero-data retention
windsurf,Tableau,May see code data if not on zero-data retention
windsurf,Salesforce,Sees no code data
windsurf,Hubspot,Sees no code data
windsurf,Brevo,Sees no code data
Vercel,Amazon Web Services (AWS),"Hosting, storage and generative AI services"
Vercel,Cloudflare,Content delivery network (CDN) and security services
Vercel,Google,"Cloud computing, storage and generative AI services"
Vercel,Microsoft,Hosting and storage services
Vercel,Datadog,Cloud monitoring and security services
Vercel,Hound Technology,Real-time monitoring and debugging service
Vercel,Redis,Real-time logging and security services
Vercel,WorkOS,Audit log services
Vercel,Algolia,Real-time site search services
Vercel,Knock Labs,Customer notification services
Vercel,Salesforce,Customer relationship management (CRM) and support services
Vercel,Stripe,Payment processing services
Vercel,Tinybird,Analytics services
Vercel,tray.io,Customer support process automation and productivity platform
Vercel,Twilio,Customer communication services
Vercel,Upstash,Serverless storage services
Vercel,Neon,Serverless storage services
Vercel,Kasada,Fraud prevention services
Vercel,Discourse,Community support and communication services
Vercel,ClickHouse,Analytics services
Vercel,OpenAI,Generative AI services
Vercel,Fireworks AI,Generative AI services
Vercel,Anthropic,Generative AI services
Datadog,"Amazon Web Services, Inc.",Infrastructure services
Datadog,"Anthropic, PBC",AI services
Datadog,Atlassian Pty Ltd,Internal support collaboration
Datadog,"Forethought Technologies, Inc.",Support ticket routing
Datadog,Google LLC,Infrastructure services
Datadog,Google LLC,Email and office applications
Datadog,"Mailgun Technologies, Inc.",Email and office applications
Datadog,Microsoft Corporation (Azure),Infrastructure services
Datadog,"OpenAI, LLC",AI services
Datadog,"Salesforce, Inc.",Customer support platform
Datadog,"Slack Technologies, Inc.",Communication services
Datadog,"Snowflake, Inc.",Data warehouse services
Datadog,"Twilio, Inc.",Communication services
Datadog,"Vonage Business, Inc.",Communication services
Datadog,"Zendesk, Inc.",Customer support platform
Scale,"Amazon Web Services, Inc.",Infrastructure Provider
Scale,Atlassian Pty Ltd. (Jira),Project Management
Scale,"CloudFlare, Inc.",Caching
Scale,Civilized Discourse Construction Kit Inc. (“Discourse”),Messaging and Support
Scale,"Datadog, Inc.",Monitoring and Alerts
Scale,"Elasticsearch, Inc.",Search
Scale,"Figma, Inc.",Custom Labeling Workflow Design
Scale,"FiveTran, Inc.",Analytics
Scale,"Fullstory, Inc.",Application Monitoring
Scale,"Functional Software, Inc. (dba Sentry.io)",Monitoring and Alerts
Scale,Google LLC (Google Cloud Platform),Infrastructure Provider
Scale,Google LLC (Workspace),Productivity
Scale,"Linear Orbit, Inc.",Project Management
Scale,Microsoft Corporation (Microsoft 365),Productivity
Scale,"MongoDB, Inc. (Atlas)",Database
Scale,"Segment.io, Inc.",Analytics
Scale,"Shortcut Software Company (f/k/a Clubhouse Software, Inc.)",Project Management
Scale,"Slack Technologies, Inc.",Messaging and Support
Scale,Snowflake Inc.,Analytics
Scale,"Tableau Software, LLC (a Salesforce Company)",Analytics
Scale,TeleworkPH,Annotations and Labeling
Scale,"Zendesk, Inc.",Customer Success Tools
Scale,Scale AI Germany GmbH,
Scale,Scale AI Global MX S de RL de CV,
Scale,"Smart Ecosystem, Inc.",
Scale,"Smart Ecosystem Philippines, Inc.",
Scale,Scale AI Hungary Kft.,
Gong,Gong.io Ltd.,Providing the Gong service
Gong,"Amazon Web Services, Inc.","Cloud services, language transcription, application AI functionality"
Gong,"MongoDB, Inc.",Data storage and querying
Gong,"Mailgun Technologies, Inc.",Transactional email
Gong,"Twilio, Inc.",VOIP and text message notifications
Gong,"Filestack, Inc.",File upload/view services
Gong,Gongio Ireland Limited,A wholly-owned Gong subsidiary
Gong,Google Cloud EMEA Limited,"Cloud services, language transcription, application AI functionality"
Gong,Snowflake Inc.,Data storage and querying
Gong,Microsoft Ireland Operations Limited,Azure cloud services and application AI functionality
Sierra,"Amazon Web Services, Inc.","Data storage, cloud hosting"
Sierra,"Cloudflare, Inc.",Content Delivery Network and Edge web serving
Sierra,"OpenAI, L.L.C.",Large language model serving
Sierra,Microsoft Corporation,Large language model serving
Sierra,"Salesforce, Inc. (Slack)",Communication and collaboration; Customer Service
Sierra,"WorkOS, Inc.",Authentication and identity management
Sierra,Twilio Inc.,Telephony
Sierra,"Deepgram, Inc.",Speech-to-text transcription
Sierra,Eleven Labs Inc.,Speech-to-text transcription and text-to-speech audio generation
Cognition AI,Anthropic,AI Provider
Cognition AI,Amazon Web Services (AWS),Cloud Service Provider
Cognition AI,Microsoft Azure,Cloud Service Provider
Cognition AI,OpenAI,AI Provider
Cognition AI,Datadog,Logging and monitoring solution
Cognition AI,Sentry,Error monitoring and alerting tool
Cognition AI,Stripe,Payment processing
Cognition AI,Pylon,Help desk ticketing system
Cognition AI,SendGrid,Email API
Cognition AI,HubSpot,CRM
Cognition AI,auth0 by Okta,Authentication & User Management
Cognition AI,Hotjar,Error monitoring tool
Cognition AI,Vercel,Cloud Service Provider
Cognition AI,Google Cloud,Cloud Service Provider
Cognition AI,Fireworks AI,AI Infrastructure Provider
X,AWS,"Cloud infrastructure, services, and support"
X,Oracle,"Cloud infrastructure, services, and support"
X,Google Cloud,"Cloud infrastructure, services, and support"
X,xAI Affiliates,"Cloud Infrastructure, services, and support"
X,xAI Subsidiary,Services and support
X,Cloudflare,Content delivery
X,Hive,Content delivery
X,Wiz,Services and support
X,Chronosphere,Services and support
X,Axiom,Services and support
Neon,Zendesk,Customer service software
Neon,Productboard Inc.,Product Analytics
Neon,Stripe,Credit Card Processing
Neon,DocuSign,Document Management
Neon,Grafana,Infrastructure service provider
Neon,Google Workspace,Internal and External Communications Document Management System
Neon,Google Analytics,Analytics
Neon,Typeform,Feedback forms
Neon,Intuit Inc (Quickbooks),Billing
Neon,Amazon Web Services,Infrastructure service provider
Neon,Hubspot,"Customer relationship management, analytics & marketing"
Neon,Notion,Internal Communications
Neon,Orb,Billing
Neon,Segment,Customer Data Platform and analytics
Neon,Sentry,Infrastructure service provider
Neon,Slack,Internal Messenger
Neon,Snowflake,Data Analytics
Neon,Zapier,Integration for Feedback
Neon,Grain,Video recording
Neon,Madkudu,Marketing
Neon,Microsoft Azure,Infrastructure service provider
Neon,"Peaberry Software, Inc. (trading as Customer.io)",Marketing
Neon,"Linear Orbit, Inc.",Product Development
Neon,Posthog,Analytics
Neon,Render,Cloud Infrastructure provider
Neon,Safebase,Trust Center
Neon,Motif Land Inc.(trading as Markprompt),AI Agent for Customer Support
Neon,Avalara,Compliance
Neon,Clay Labs,Marketing
Neon,Clickhouse Inc.,Infrastructure service provider
Neon,Yess.ai,Marketing
Neon,Shadowfax Inc.,AI Data Engineer
Databricks,"Amazon Web Services, Inc.",Cloud Service Provider
Databricks,Google LLC,Cloud Service Provider
Databricks,Microsoft Corporation,Cloud Service Provider
Databricks,Oracle Corporation,Cloud Service Provider
Databricks,Twilio Inc.,"Provide customer communications, including in-product messaging and email."
Databricks,Atlassian Pty Ltd.,Customer support and ticket handling.
Databricks,Microsoft Corporation,Customer support (in Microsoft Teams).
Databricks,"salesforce.com, inc.",Customer support ticketing.
Databricks,"Slack Technologies, Inc.",Customer support.
Databricks,"SupportLogic, Inc.",Monitor quality of service in responding to support tickets.
Databricks,Databricks Federal LLC,
Databricks,Databricks B.V.,
Databricks,Databricks U.K. Limited,
Databricks,Databricks Australia Pty Ltd,
Databricks,Databricks SARL,
Databricks,Databricks GmBH,
Databricks,Databricks Asiapac Unified Analytics Pte. Ltd.,
Databricks,Databricks Japan K.K.,
Databricks,Databricks India Private Limited,
Databricks,Databricks Canada ULC,
Databricks,Databricks Italy S.r.l.,
Databricks,Databricks Sweden AB,
Databricks,Databricks Switzerland GmbH,
Databricks,Databricks Spain S.L.,
Databricks,Databricks Korea LLC,
Databricks,Databricks New Zealand Limited,
Databricks,Databricks Costa Rica SRL,
Databricks,Databricks doo Beograd,
Databricks,Databricks Brazil Ltda.,
Clay,Amazon Web Services,Cloud provider
Clay,Amplitude,Data analytics
Clay,Anthropic,LLM provider/hosting
Clay,Braintrust,LLM Operations
Clay,Datadog,APM and security
Clay,Segment,Data analytics
Clay,Snowflake,Data analytics
Clay,Browserbase,LLM Operations
Clay,Cohere,LLM operations
Clay,Cube Dev,Data analytics
Clay,Fireworks,LLM provider/hosting
Clay,Fivetran,Data ETL
Clay,Google Gemini,LLM provider/hosting
Clay,Grafana,Logging and metrics
Clay,Intercom,Customer support
Clay,Langsmith,LLM logging and tracing
Clay,Mezmo,Logging and metrics
Clay,Mistral,LLM provider/hosting
Clay,OpenAI,LLM provider/hosting
Clay,Parallel Web Systems,LLM operations
Clay,Postmark,Email service provider
Clay,Raindrop.ai,LLM operations
Clay,Sentry,Error logging
Clay,SerpApi,LLM operations
Clay,Serper,LLM operations
Clay,Slack,Customer Support
Clay,Turbopuffer,Vector Database
Clay,Verisoul,Fraud Detection
Clay,WorkOS,Authentication support
Clay,Zapier,Data imports
Clay,Zenrows,LLM operations
Glean,Google Inc.,Cloud Service Provider
Glean,"Amazon Web Services, Inc.",Cloud Service Provider
Glean,"Intercom, Inc. (optional)",Cloud-based Customer Support Services (info shared: name and email address of the user)
Glean,"Sendgrid, Inc","Email Provider (info shared: first name, last name and email of the sender and recipient, document titles, document URLs, employee profile photo, employee join date)"
Glean,"OpenAI, Inc (optional)","Generative AI provider (info shared: User’s query and title, metadata and snippets from documented results. Metadata includes author name, date, document type)"
Glean,Azure (optional),"Generative AI provider (info shared: User’s query and title, metadata and snippets from document results. Metadata includes author name, date, document type)"
Glean,Glean,Emails sent to Sendgrid go through Glean’s GCP project (not persisted). Info shared is the same as Sendgrid
Pinecone,Confluent,Event Streaming
Pinecone,Zendesk,Customer service and technical support
Pinecone,Amazon Web Services (AWS),Cloud infrastructure and hosted services
Pinecone,Microsoft Azure,Cloud Infrastructure
Pinecone,Salesforce,Customer service and technical support
Pinecone,Google,Cloud infrastructure and hosted services
Pinecone,Twilio,Customer notifications
Pinecone,Pinecone Systems Ltd.,Operating affiliate
Pinecone,Pinecone Systems UK Ltd.,Operating affiliate
Grafana,"Alphabet Inc., Google (GCP)","Infrastructure, Cloud Service Provider"
Grafana,Microsoft Corporation (Azure),"Infrastructure, Cloud Service Provider"
Grafana,Amazon.com Inc. (AWS),"Infrastructure, Cloud Service Provider"
Grafana,Twilio Inc. (Sendgrid),"Email, Alerting for SaaS"
Grafana,Mailgun Technologies Inc.,"SMS, Alerting for SaaS"
Grafana,OpenAI,Optional: AI feature connectivity
Grafana,Anthropic,Optional: AI feature
Grafana,Palantir Technologies Inc.,For customers using Grafana’s Federal Cloud offering
Cohere,Google Cloud,Infrastructure service provider
Cohere,Fullstory,Software delivery platform
Cohere,LaunchDarkly,Feature Flagging
Cohere,New Relic,Platform Monitoring
Cohere,Retool,Software delivery platform
Cohere,Upollo,Fraud and Abuse Detection
Cohere,Hotjar,Customer support
Cohere,Sentry IO,Event and Error Handling
Cohere,Segment,Event and Error Handling
Cohere,Sendgrid,Email Communications
Cohere,Stripe,Billing
Cohere,Intercom,Customer support
Cohere,Vercel,Web Application Hosting
Cohere,Active Fence,Trust and Safety
Hebbia,OpenAI,LLM
Hebbia,Anthropic,LLM
Hebbia,Google - Gemini,LLM
Hebbia,Auth0,Identity provider for user accounts
Hebbia,Amazon Web Services,Cloud provider
Hebbia,Elastic,
Granola,"Anthropic, PBC","AI features such as note generation, ability to chat with notes, or generate artifacts such as follow up emails."
Granola,OpenAI,AI API
Granola,Deepgram,Transcription
Granola,"Retool, Inc.",Internal dashboards and tooling
Granola,Amazon Web Services,Cloud provider
Granola,Sentry,Cloud monitoring
Granola,"Stripe, Inc.",Payment processor
Granola,Vocify Inc.d/b/a Vellum,Proxy for LLM calls
Granola,Google Workspace,Identity provider
Granola,"AssemblyAI, Inc.",Transcription
Granola,Posthog,"Product analytics, session replays, feature flags, A/B testing, surveys"
Snowflake,Amazon Web Services,Cloud hosting and infrastructure provider
Snowflake,Amazon Web Services,Simple Email Service (SES) for optional customer-configured notifications
Snowflake,Amazon Web Services,Snowflake Data Clean Rooms Web App
Snowflake,Amazon Web Services,Native app security scanning for customer accounts in Google Cloud Platform regions
Snowflake,Microsoft Azure,Cloud hosting and infrastructure provider
Snowflake,Google Cloud Platform,Cloud hosting and infrastructure provider
Snowflake,Cloudflare,R2 cloud storage for optional use in connection with Snowflake’s Egress Cost Optimizer feature
Figma,"Agora, Inc.","Figma uses Agora, Inc. for voice and audio services."
Figma,"Amazon Web Services, Inc.","Figma uses Amazon Web Services, Inc. to process and store user data for the duration set forth in the user's (or its organization's) agreement with Figma for hosting services and as a service provider for AI-enabled functionality."
Figma,Anthropic PBC,Figma uses Anthropic as a service provider for AI-enabled functionality.
Figma,"Cloudflare, Inc.","Figma uses Cloudfare, Inc. for web infrastructure support."
Figma,"Datadog, Inc.","Figma uses Datadog, Inc. for infrastructure monitoring."
Figma,"dbt Labs, Inc. (dbt Cloud)",Figma uses dbt Cloud for data analytics.
Figma,Decagon AI,Figma uses Decagon AI to provide self-serve automation for customer support inquiries.
Figma,"Functional Software, Inc. (Sentry)","Figma uses Functional Software, Inc. for application error tracking and monitoring."
Figma,"Gainsight, Inc.","Figma uses Gainsight, Inc. to host and provide one of Figma’s publicly available support forums."
Figma,Google LLC (Firebase),Figma uses Google Firebase to send push notifications on mobile apps (iOS and Android).
Figma,Google LLC (Gemini),Figma uses Google Gemini as a service provider for AI-enabled functionality.
Figma,"Hex, Inc.","Figma uses Hex, Inc. for data analytics."
Figma,"Jasper AI, Inc.",Service provider for AI-enabled functionality.
Figma,Microsoft Corporation (Azure),Figma uses Microsoft Corporation (Azure) to process and store user data for the duration set forth in the user’s (or its organization’s) agreement with Figma for hosting services and as a service provider for AI-enabled functionality.
Figma,"OpenAI, LLC",Service provider for AI-enabled functionality.
Figma,Premier Talent Partners,Service provider for contractor staffing for Figma’s Product Support team to maintain customer service levels.
Figma,"SendGrid, Inc.","Figma uses SendGrid, Inc. for cloud-based email notification services."
Figma,"Sprinklr, Inc.","Figma uses Sprinklr, Inc. for cloud-based customer support services."
Figma,"Snowflake, Inc.","Figma uses Snowflake, Inc. for cloud-based data warehouse."
Figma,"Twilio, Inc.","Figma uses Twilio, Inc. for identity management."
Figma,"Zendesk, Inc.","Figma uses Zendesk, Inc. for cloud-based customer support services."
